SYSTEM;SECTOR;REGION;GRID;
5251977;Quence;Outer Rim Territories;P-18;
23 Mere;;Colonies;M-13;
2GS-91E20;;Core Worlds;M-11;
A-Foroon;Arkanis;Outer Rim Territories;R-16;
Aaeton;;Core Worlds;K-9;
Aakaash;Oplovis;Outer Rim Territories;M-5;
Aaloth;Gaulus;Outer Rim Territories;S-17;
Aar;Nijune;Outer Rim Territories;N-5;
Aargau;;Core Worlds;L-10;
Aargonar;Perkell;Mid Rim;Q-7;
Aaris;Kathol;Outer Rim Territories;M-21;
Aaron;Tharin;Outer Rim Territories;S-8;
Ab Dalis;Gaulus;Outer Rim Territories;R-17;
Ab'Bshingh;Sujimis;Outer Rim Territories;O-19;
Abaarian;Abaar;Mid Rim;K-7;
Abafar;Quelii;Outer Rim Territories;O-6;
Abar;Tragan Cluster;Outer Rim Territories;N-5;
Abbaji;Zuma (Spar);Outer Rim Territories;H-16;
Abecederia;Noolian;Mid Rim;Q-13;
Abednedo;;Colonies;N-12;
Abelor;Yushan;Mid Rim;K-17;
Abersyn;Cyrillian Protectorate;Expansion Region;O-12;
Abhean;Maldrood;Mid Rim;R-7;
Abo Dreth;Corporate Sector;Outer Rim Territories;S-3;
Abonshee;Fakir;Colonies;K-9;
Abraxas;Yushan;Mid Rim;K-17;
Abraxin;Tion Hegemony;Outer Rim Territories;S-6;
Abregado;;Core Worlds;K-13;
Abridon;Koradin;Outer Rim Territories;J-18;
Abrihom;Rayter;Outer Rim Territories;J-19;
Abrion Major;Abrion;Outer Rim Territories;S-15;
Absanz;Allied Tion;Outer Rim Territories;S-6;
Absit;Tunka;Outer Rim Territories;I-19;
Abtin;Danjar;Outer Rim Territories;N-19;
Abyss;Ash Worlds;Outer Rim Territories;S-7;
Ac'fren;Calaron;Outer Rim Territories;T-9;
Acachla;;Colonies;N-10;
Achillea;Tapani;Colonies;L-13;
Acomber;;Colonies;M-9;
Actlyon;Jjannex;Outer Rim Territories;K-19;
Adalog;Mytaranor;Mid Rim;Q-10;
Adamastor;;Core Worlds;L-9;
Adana;;Deep Core;L-10;
Adari;Adari;Inner Rim;M-9;
Adarlon Minos ;Cluster Outer;Rim Territories ;M-20;
Adelphi;Kibilini;Outer Rim Territories;P-17;
Adikaria;;Core Worlds;K-12;
Adim;Adari;Inner Rim;M-9;
Adin;Lostar;Expansion Region;M-7;
Adinax Nebula;Semagi;Mid Rim;I-16;
Adner;Yataga;Expansion Region;N-16;
Adoris;Senex;Mid Rim;L-17;
Adras;Seswenna;Outer Rim Territories;M-17;
Adratharpe;;Mid Rim;H-15;
Adrathorpe;;Wild Space;H-11;
Aduba;Bheriz;Outer Rim Territories;U-11;
Adumar;;Wild Space;J-6;
Aefao;Corosi;Outer Rim Territories;N-5;
Aeneid;Kessel;Outer Rim Territories;T-10;
Aeos;Chopani;Outer Rim Territories;M-3;
Aesolian;;Wild Space;I-15;
Aestilan;Demetras;Outer Rim Territories;P-7;
Aeten;;Wild Space;J-6;
Affa;;Inner Rim;M-13;
Affadar;Fellwe;Expansion Region;L-8;
Affavan;;Hutt Space;S-12;
Agamar;Lahara;Outer Rim Territories;M-5;
Agaris;;Wild Space;G-14;
Agash;Great Agash;Expansion Region;K-15;
Aggarda;Metatessu;Mid Rim;R-10;
Agoliba-Tu;Veragi;Outer Rim Territories;K-3;
Agomar;Seswenna;Outer Rim Territories;M-18;
Agon;Ash Worlds;Outer Rim Territories;T-7;
Agora;Sluis;Outer Rim Territories;M-19;
Agridorn;;Colonies;N-12;
Agriworld-2079;M'shinni;Mid Rim;L-7;
Aguarl;Mbandamonte;Expansion Region;N-15;
Ahakista;Myto;Outer Rim Territories;K-3;
Ahch-To;;Unknown Regions;F-13;
Ahn Krantarium;Esuain;Mid Rim;P-7;
Ai'ken Prime;;Inner Rim;O-10;
Aida;Aida;Mid Rim;Q-13;
Aikhibba;Fei Hu;Mid Rim;P-13;
Ailon;;Inner Rim;N-12;
Aiqin;Airam;Outer Rim Territories;L-20;
Ajan Kloss;Cademimu;Outer Rim Territories;L-5;
Ak-Hurst;Tarabba;Outer Rim Territories;M-19;
Akrit'tar;Calaron;Outer Rim Territories;T-9;
Akuria;Oplovis;Outer Rim Territories;M-5;
Al'doleem;Hune;Mid Rim;Q-12;
Alabash;Fakir;Colonies;K-9;
Alagon;Tennuutta;Mid Rim;Q-7;
Alakatha;Var Hagen;Mid Rim;M-16;
Alamass;Calaron;Outer Rim Territories;T-9;
Alarevi;Gaulus;Outer Rim Territories;S-17;
Alashan;;Wild Space;J-5;
Alaspin;Suolriep;Outer Rim Territories;S-8;
Alassa Major;Vilonis;Mid Rim;O-16;
Alba;Belsmuth;Outer Rim Territories;O-6;
Albarrio;Albarrio;Outer Rim Territories;K-5;
Albecus;;Core Worlds;L-9;
Albrae-Don;Sern;Colonies;L-13;
Alchenaut;Alchenaut;Expansion Region;L-16;
Alderaan;Alderaan;Core Worlds;M-10;
Alderath;Alderath;Mid Rim;L-7;
Alderbathe;Churnis;Mid Rim;J-6;
Aldereen;;Inner Rim;M-14;
Aldhani;Cademimu;Outer Rim Territories;M-6;
Aldin;Aldino;Mid Rim;J-17;
Aldivy;Illisurevimurasi;Outer Rim Territories;Q-4;
Aldo Spach;Jospro;Outer Rim Territories;S-7;
Aldraig;Alderaan;Core Worlds;M-10;
Alee;;Hutt Space;R-9;
Aleen;Bright Jewel;Mid Rim;L-7;
Aleen Minor;;Inner Rim;M-13;
Aleron;Tapani;Colonies;L-13;
Alfestril;;Inner Rim;N-12;
Algara;Lambda;Mid Rim;P-15;
Algarian;Dufilvian;Mid Rim;Q-15;
Algarra;Thrasybule;Outer Rim Territories;P-6;
Algnadesh;Hapes Cluster;Inner Rim;O-9;
Algor;Cronese Mandate;Outer Rim Territories;S-6;
Algunnis;Trax;Mid Rim;Q-10;
Alion;;Inner Rim;L-14;
Alios;Rachuk;Colonies;N-11;
Alis Point;Tamarin;Outer Rim Territories;N-18;
Alisandor;Tapani;Colonies;L-13;
Alk'Lellish;Sumitra;Expansion Region;N-7;
Alkenak;;Core Worlds;M-12;
Alland;;Core Worlds;K-10;
Allandor;Tapani;Colonies;L-13;
Allanteen;Tynna;Expansion Region;O-14;
Allard;Svivreni;Outer Rim Territories;O-19;
Alliga;Phelleem;Outer Rim Territories;S-7;
Allst Prime;Taldot;Mid Rim;Q-8;
Alluuvia;Elrood;Outer Rim Territories;M-19;
Allyuen;Javin (Anoat);Outer Rim Territories;K-18;
"Almagest, The";;Inner Rim ;J-13;
Almak;Almak;Mid Rim;J-17;
Almakar;;Inner Rim;N-9;
Almania;Mortex (Almanian);Outer Rim Territories;S-5;
Almar;Elrood;Outer Rim Territories;M-19;
Almera;;Inner Rim;M-8;
Alnaria;;Colonies;J-9;
Aloxl;;Deep Core;L-10;
Aloxor;Kontahr;Mid Rim;R-11;
Alpheridies;Farstey;Expansion Region;O-8;
Alphoresis;Grumani;Outer Rim Territories;M-17;
Alpinn;Kanz;Outer Rim Territories;N-4;
Alsakan;Alsaka;Core Worlds;L-9;
Altair;Thrasybule;Outer Rim Territories;P-6;
Altano;Piryn Shar;Expansion Region;K-16;
Altarrn;Glythe;Mid Rim;J-7;
Altawar;Corellian;Core Worlds;M-11;
Althir;Rolion;Outer Rim Territories;P-6;
Altier;Altier;Expansion Region;O-13;
Altikar;Toblain;Outer Rim Territories;O-18;
Altooni;Corellian;Core Worlds;M-11;
Altor;Zoraster;Outer Rim Territories;U-13;
Altora;Dalonbian;Outer Rim Territories;L-3;
Altratonne;Ash Worlds;Outer Rim Territories;S-7;
Altunna;Cassander;Outer Rim Territories;K-5;
Altyr;Morshdine;Outer Rim Territories;O-5;
Aludia;Trilon;Outer Rim Territories;H-16;
Alui;Alui;Mid Rim;O-17;
Alun;Oriolan;Mid Rim;J-16;
Alurion;Raioballo;Outer Rim Territories;L-4;
Alvadorjia;Andirma;Expansion Region;L-15;
Alvorine;Yminis;Outer Rim Territories;S-14;
Alzar;Thanium;Outer Rim Territories;R-6;
Alzoc;Sujimis;Outer Rim Territories;P-19;
Amaltanna;Kanz;Outer Rim Territories;N-4;
Amar;Airon;Inner Rim;O-10;
Amarin;Allied Tion;Outer Rim Territories;S-6;
Amaxine Station;Tunka;Outer Rim Territories;J-19;
Ambria;Airon;Inner Rim;O-10;
Amethia Prime;;Inner Rim;L-14;
Amfar;;Inner Rim;O-8;
Amloch;Rayter;Outer Rim Territories;J-19;
Ammon;Ciutric;Outer Rim Territories;N-5;
Ammuud;Corporate Sector;Outer Rim Territories;S-4;
Amorphiia;Eidoloni;Mid Rim;L-16;
Amorris;Quelii;Outer Rim Territories;O-6;
Ampliquen;Meridian;Outer Rim Territories;R-7;
Anadeen;;Inner Rim;O-9;
Anantapar;Javin (Yarith);Outer Rim Territories;K-18;
Anarak;Wyl;Outer Rim Territories;R-4;
Anaxes;Antemeridian;Outer Rim Territories;R-7;
Ancathia;Albarrio;Outer Rim Territories;K-5;
Anchoron;Mayagil;Outer Rim Territories;M-18;
Andalia;Hapes Cluster;Inner Rim;O-9;
Andara;;Core Worlds;L-13;
Andasala;Cor'ric;Outer Rim Territories;P-18;
Andelm;Svivreni;Outer Rim Territories;O-19;
Ando;Lambda;Mid Rim;Q-15;
Andooweel;Arkanis;Outer Rim Territories;R-16;
Andosha;Lambda;Mid Rim;P-15;
Andraven;Wazta;Outer Rim Territories;J-18;
Andulia;Doldur;Mid Rim;P-15;
